Team,Hashtags
FC Bayern München,#FCB #FCBayern #MiaSanMia #packmas
BV Borussia 09 Dortmund,#BVB #echteliebe #borussiadortmund
SV Werder Bremen,#svw #BRE #Werder 
Bayer 04 Leverkusen,#B04 #Bayer04 #Werkself #b04
SC Freiburg,#SCF #scfreiburg
VfL Wolfsburg,#WOB #VfLWolfsburg
Borussia Mönchengladbach,#BMG #DieFohlen #bmg #fohlen11 #fohlenelf
Eintracht Frankfurt,#SGE #Eintracht
1. FC Union Berlin,#FCU #fcunion #eisern #fcu
1. FC Köln,#KOE #effzeh #fckoeln
TSV Fortuna 95 Düsseldorf,#f95 #fortuna
1. FSV Mainz 05,#M05 #Mainz05
TSG 1899 Hoffenheim,#TSG #TSG1899 #Hoffenheim
FC Augsburg,#FCA #fcaugsburg
SC Paderborn 07,#SCP #SCPaderborn #scp07
FC Schalke 04,#S04 #s04 #Schalke
RB Leipzig,#RBL #DieRotenBullen #rb_fans #RBLeipzig
Hertha BSC,#BSC #hahohe #HerthaBSC
